"u","i"
"-7","-20,86"
"-6,986","-17,76"
"-6,972","-14,23"
"-6,958","-14,3"
"-6,944","-16,04"
"-6,93","-14,94"
"-6,916","-17,45"
"-6,902","-19,6"
"-6,888","-24,71"
"-6,874","-49,99"
"-6,86","-28,84"
"-6,846","-22,48"
"-6,832","-21,82"
"-6,818","-19,72"
"-6,804","-15,28"
"-6,79","-14,04"
"-6,776","-16,74"
"-6,762","-21,51"
"-6,748","-19,2"
"-6,734","-16,94"
"-6,72","-20,06"
"-6,706","-20,78"
"-6,692","-20,09"
"-6,678","-17,74"
"-6,664","-16,76"
"-6,65","-12,95"
"-6,636","-12,88"
"-6,622","-17,84"
"-6,608","-17,03"
"-6,594","-12,82"
"-6,58","-10,32"
"-6,566","-10,21"
"-6,552","-12,08"
"-6,538","-15,41"
"-6,524","-17,12"
"-6,51","-11,71"
"-6,496","-11,39"
"-6,482","-11,64"
"-6,467","-11,28"
"-6,453","-11,32"
"-6,439","-10,34"
"-6,425","-9,289"
"-6,411","-9,6"
"-6,397","-10,13"
"-6,383","-10,29"
"-6,369","-11,22"
"-6,355","-10,02"
"-6,341","-10,97"
"-6,327","-10,64"
"-6,313","-8,887"
"-6,299","-8,967"
"-6,285","-8,228"
"-6,271","-9,719"
"-6,257","-8,498"
"-6,243","-9,995"
"-6,229","-10,35"
"-6,215","-8,129"
"-6,201","-7,966"
"-6,187","-7,158"
"-6,173","-10,28"
"-6,159","-8,919"
"-6,145","-12,96"
"-6,131","-10,96"
"-6,117","-10,15"
"-6,103","-10,92"
"-6,089","-8,44"
"-6,075","-7,654"
"-6,061","-12,07"
"-6,047","-12,13"
"-6,033","-12,94"
"-6,019","-11,74"
"-6,005","-15,37"
"-5,991","-9,444"
"-5,977","-9,478"
"-5,963","-9,125"
"-5,949","-10,34"
"-5,935","-10,86"
"-5,921","-9,875"
"-5,907","-8,189"
"-5,893","-10,22"
"-5,879","-13,13"
"-5,865","-12,64"
"-5,851","-14,38"
"-5,837","-8,976"
"-5,823","-7,253"
"-5,809","-6,234"
"-5,795","-5,538"
"-5,781","-5,68"
"-5,767","-6,255"
"-5,753","-5,724"
"-5,739","-5,831"
"-5,725","-4,99"
"-5,711","-7,136"
"-5,697","-7,358"
"-5,683","-5,896"
"-5,669","-4,753"
"-5,655","-4,23"
"-5,641","-4,705"
"-5,627","-5,53"
"-5,613","-5,036"
"-5,599","-5,178"
"-5,585","-5,141"
"-5,571","-4,2"
"-5,557","-3,697"
"-5,543","-3,298"
"-5,529","-3,658"
"-5,515","-4,244"
"-5,501","-5,394"
"-5,487","-4,474"
"-5,472","-5,561"
"-5,458","-4,862"
"-5,444","-7,177"
"-5,43","-11,14"
"-5,416","-7,52"
"-5,402","-7,717"
"-5,388","-6,073"
"-5,374","-4,876"
"-5,36","-6,197"
"-5,346","-9,161"
"-5,332","-10,59"
"-5,318","-5,929"
"-5,304","-4,038"
"-5,29","-4,132"
"-5,276","-6,308"
"-5,262","-5,256"
"-5,248","-4,088"
"-5,234","-3,885"
"-5,22","-6,093"
"-5,206","-7,621"
"-5,192","-5,146"
"-5,178","-3,128"
"-5,164","-2,539"
"-5,15","-3,894"
"-5,136","-5,219"
"-5,122","-5,654"
"-5,108","-6,339"
"-5,094","-5,745"
"-5,08","-4,723"
"-5,066","-4,575"
"-5,052","-6,638"
"-5,038","-4,644"
"-5,024","-4,374"
"-5,01","-6,283"
"-4,996","-7,212"
"-4,982","-7,058"
"-4,968","-8,298"
"-4,954","-7,577"
"-4,94","-5,103"
"-4,926","-5,297"
"-4,912","-7,31"
"-4,898","-6,711"
"-4,884","-7,662"
"-4,87","-7,415"
"-4,856","-7,113"
"-4,842","-6,356"
"-4,828","-6,322"
"-4,814","-5,564"
"-4,8","-6,446"
"-4,786","-6,94"
"-4,772","-6,704"
"-4,758","-4,319"
"-4,744","-3,919"
"-4,73","-5,303"
"-4,716","-3,751"
"-4,702","-4,128"
"-4,688","-3,951"
"-4,674","-4,256"
"-4,66","-4,172"
