"u","i"
"-9","-15,91"
"-8,982","-15,64"
"-8,964","-15,82"
"-8,946","-15,53"
"-8,928","-15,33"
"-8,91","-14,92"
"-8,892","-14,87"
"-8,874","-14,96"
"-8,856","-14,93"
"-8,838","-14,93"
"-8,82","-14,68"
"-8,802","-14,56"
"-8,784","-14,39"
"-8,766","-14,2"
"-8,748","-14,06"
"-8,73","-13,46"
"-8,712","-13,12"
"-8,694","-12,91"
"-8,676","-12,9"
"-8,658","-12,72"
"-8,64","-12,94"
"-8,622","-12,99"
"-8,604","-12,8"
"-8,585","-12,47"
"-8,567","-12,32"
"-8,549","-11,94"
"-8,531","-11,88"
"-8,513","-11,86"
"-8,495","-11,68"
"-8,477","-11,66"
"-8,459","-11,41"
"-8,441","-11,56"
"-8,423","-11,44"
"-8,405","-11,56"
"-8,387","-11,15"
"-8,369","-10,57"
"-8,351","-10,43"
"-8,333","-10,54"
"-8,315","-10,73"
"-8,297","-10,44"
"-8,279","-10,11"
"-8,261","-10,12"
"-8,243","-9,974"
"-8,225","-9,995"
"-8,207","-9,84"
"-8,189","-9,817"
"-8,171","-9,837"
"-8,153","-9,478"
"-8,135","-9,293"
"-8,117","-9,147"
"-8,099","-9,077"
"-8,081","-8,93"
"-8,063","-9,017"
"-8,045","-8,996"
"-8,027","-8,91"
"-8,009","-8,796"
"-7,991","-8,694"
"-7,973","-8,799"
"-7,955","-9,084"
"-7,937","-8,72"
"-7,919","-8,645"
"-7,901","-8,427"
"-7,883","-8,214"
"-7,865","-8,045"
"-7,847","-7,899"
"-7,829","-7,766"
"-7,811","-7,645"
"-7,793","-7,776"
"-7,775","-7,79"
"-7,757","-7,795"
"-7,739","-7,83"
"-7,721","-8,057"
"-7,703","-8,214"
"-7,685","-8,117"
"-7,667","-7,896"
"-7,649","-7,603"
"-7,631","-7,461"
"-7,613","-7,31"
"-7,595","-7,239"
"-7,576","-6,948"
"-7,558","-6,887"
"-7,54","-6,818"
"-7,522","-6,89"
"-7,504","-7,035"
"-7,486","-6,914"
"-7,468","-6,798"
"-7,45","-6,881"
"-7,432","-6,809"
"-7,414","-6,609"
"-7,396","-6,579"
"-7,378","-6,417"
"-7,36","-6,453"
"-7,342","-6,641"
"-7,324","-6,42"
"-7,306","-6,446"
"-7,288","-6,406"
"-7,27","-6,489"
"-7,252","-6,542"
"-7,234","-6,45"
"-7,216","-6,206"
"-7,198","-6,154"
"-7,18","-6,055"
"-7,162","-6,051"
"-7,144","-6,057"
"-7,126","-5,982"
"-7,108","-6,063"
"-7,09","-6,083"
"-7,072","-5,965"
"-7,054","-5,86"
"-7,036","-5,79"
"-7,018","-5,9"
"-7","-5,907"
"-6,982","-5,887"
"-6,964","-5,848"
"-6,946","-5,784"
"-6,928","-5,75"
"-6,91","-5,684"
"-6,892","-5,489"
"-6,874","-5,506"
"-6,856","-5,5"
"-6,838","-5,492"
"-6,82","-5,523"
"-6,802","-5,413"
"-6,784","-5,605"
"-6,766","-5,451"
"-6,748","-5,477"
"-6,73","-5,53"
"-6,712","-5,402"
"-6,694","-5,205"
"-6,676","-5,191"
"-6,658","-5,285"
"-6,64","-5,281"
"-6,622","-5,195"
"-6,604","-5,228"
"-6,586","-5,217"
"-6,567","-5,227"
"-6,549","-5,237"
"-6,531","-5,185"
"-6,513","-5,262"
"-6,495","-5,223"
"-6,477","-5,211"
"-6,459","-5,223"
"-6,441","-5,259"
"-6,423","-5,396"
"-6,405","-5,504"
"-6,387","-5,397"
"-6,369","-5,283"
"-6,351","-5,321"
"-6,333","-5,292"
"-6,315","-5,22"
"-6,297","-5,199"
"-6,279","-5,285"
"-6,261","-5,227"
"-6,243","-5,368"
"-6,225","-5,402"
"-6,207","-5,475"
"-6,189","-5,51"
"-6,171","-5,423"
"-6,153","-5,402"
