"u","i"
"-8","-17,66"
"-7,984","-18,11"
"-7,968","-17,76"
"-7,952","-17,44"
"-7,936","-17,17"
"-7,92","-17,17"
"-7,904","-17,18"
"-7,888","-16,2"
"-7,872","-16,29"
"-7,856","-16,31"
"-7,84","-16,34"
"-7,824","-16,51"
"-7,808","-16,71"
"-7,792","-16,99"
"-7,776","-16,91"
"-7,76","-17,08"
"-7,744","-17,18"
"-7,728","-16,95"
"-7,712","-16,82"
"-7,696","-17,18"
"-7,68","-17,44"
"-7,664","-17,82"
"-7,648","-17,73"
"-7,632","-17,88"
"-7,616","-17,58"
"-7,6","-17,32"
"-7,584","-17,55"
"-7,568","-17,93"
"-7,552","-18,09"
"-7,536","-17,96"
"-7,52","-17,9"
"-7,504","-17,88"
"-7,488","-18,11"
"-7,472","-18,56"
"-7,456","-19,2"
"-7,44","-19,93"
"-7,424","-20,87"
"-7,408","-20,54"
"-7,392","-19,99"
"-7,375","-19,12"
"-7,359","-18,93"
"-7,343","-18,75"
"-7,327","-18,47"
"-7,311","-18,36"
"-7,295","-18,69"
"-7,279","-18,93"
"-7,263","-18,94"
"-7,247","-18,8"
"-7,231","-19,06"
"-7,215","-19,29"
"-7,199","-18,8"
"-7,183","-18,55"
"-7,167","-18,99"
"-7,151","-19,15"
"-7,135","-19,58"
"-7,119","-19,4"
"-7,103","-19,64"
"-7,087","-20,54"
"-7,071","-20,61"
"-7,055","-20,28"
"-7,039","-19,63"
"-7,023","-19,65"
"-7,007","-20,72"
"-6,991","-20,1"
"-6,975","-20,09"
"-6,959","-20,77"
"-6,943","-20,79"
"-6,927","-21,12"
"-6,911","-21,3"
"-6,895","-21,99"
"-6,879","-21,97"
"-6,863","-20,55"
"-6,847","-19,91"
"-6,831","-20,05"
"-6,815","-20,01"
"-6,799","-19,45"
"-6,783","-19,24"
"-6,767","-18,97"
"-6,751","-18,59"
"-6,735","-18,27"
"-6,719","-18,01"
"-6,703","-18,25"
"-6,687","-18,04"
"-6,671","-17,21"
"-6,655","-17,17"
"-6,639","-17,71"
"-6,623","-17,86"
"-6,607","-17,99"
"-6,591","-18,44"
"-6,575","-18,56"
