"u","i"
"-6","-1,732"
"-5,988","-1,686"
"-5,976","-1,68"
"-5,964","-1,677"
"-5,952","-1,672"
"-5,94","-1,669"
"-5,928","-1,639"
"-5,916","-1,608"
"-5,904","-1,587"
"-5,892","-1,587"
"-5,88","-1,581"
"-5,868","-1,598"
"-5,856","-1,578"
"-5,844","-1,561"
"-5,832","-1,492"
"-5,82","-1,509"
"-5,808","-1,495"
"-5,796","-1,491"
"-5,784","-1,482"
"-5,772","-1,456"
"-5,76","-1,444"
"-5,748","-1,437"
"-5,736","-1,427"
"-5,724","-1,431"
"-5,712","-1,434"
"-5,7","-1,439"
"-5,688","-1,427"
"-5,676","-1,375"
"-5,664","-1,36"
"-5,652","-1,329"
"-5,64","-1,331"
"-5,628","-1,326"
"-5,616","-1,293"
"-5,604","-1,28"
"-5,592","-1,265"
"-5,58","-1,264"
"-5,568","-1,277"
"-5,555","-1,27"
"-5,543","-1,256"
"-5,531","-1,257"
"-5,519","-1,257"
"-5,507","-1,238"
"-5,495","-1,221"
"-5,483","-1,242"
"-5,471","-1,264"
"-5,459","-1,289"
"-5,447","-1,256"
"-5,435","-1,317"
"-5,423","-1,309"
"-5,411","-1,335"
"-5,399","-1,276"
"-5,387","-1,244"
"-5,375","-1,19"
"-5,363","-1,239"
"-5,351","-1,241"
"-5,339","-1,224"
"-5,327","-1,227"
"-5,315","-1,221"
"-5,303","-1,202"
"-5,291","-1,126"
"-5,279","-1,112"
"-5,267","-1,09"
"-5,255","-1,097"
"-5,243","-1,088"
"-5,231","-1,064"
"-5,219","-1,027"
"-5,207","-1,009"
"-5,195","-1,001"
"-5,183","-1,018"
"-5,171","-1,022"
"-5,159","-1,039"
"-5,147","-1,042"
"-5,135","-1,033"
"-5,123","-1,027"
"-5,111","-1,039"
"-5,099","-1,009"
"-5,087","-0,9766"
"-5,075","-0,9629"
"-5,063","-0,969"
"-5,051","-0,9354"
"-5,039","-0,937"
"-5,027","-0,9217"
"-5,015","-0,8912"
"-5,003","-0,8881"
"-4,991","-0,8881"
"-4,979","-0,8774"
"-4,967","-0,8637"
"-4,955","-0,8668"
"-4,943","-0,853"
"-4,931","-0,8301"
"-4,919","-0,8164"
"-4,907","-0,8073"
"-4,895","-0,8073"
"-4,883","-0,795"
"-4,871","-0,7828"
"-4,859","-0,7859"
"-4,847","-0,763"
"-4,835","-0,763"
"-4,823","-0,7554"
"-4,811","-0,7767"
"-4,799","-0,7752"
"-4,787","-0,7676"
"-4,775","-0,7493"
"-4,763","-0,7538"
"-4,751","-0,763"
"-4,739","-0,7615"
"-4,727","-0,7493"
"-4,715","-0,7355"
"-4,703","-0,7172"
"-4,691","-0,7096"
"-4,679","-0,7035"
"-4,667","-0,6943"
"-4,655","-0,6913"
"-4,643","-0,6882"
"-4,631","-0,6821"
"-4,619","-0,6775"
"-4,607","-0,673"
"-4,595","-0,6669"
"-4,583","-0,6699"
"-4,571","-0,676"
"-4,559","-0,6775"
"-4,546","-0,6699"
"-4,534","-0,6714"
"-4,522","-0,6684"
"-4,51","-0,6608"
"-4,498","-0,6531"
"-4,486","-0,647"
"-4,474","-0,6409"
"-4,462","-0,6394"
"-4,45","-0,6379"
"-4,438","-0,6272"
"-4,426","-0,6257"
"-4,414","-0,6241"
"-4,402","-0,615"
"-4,39","-0,6119"
"-4,378","-0,6104"
"-4,366","-0,6028"
"-4,354","-0,6043"
"-4,342","-0,6089"
"-4,33","-0,6028"
"-4,318","-0,6043"
"-4,306","-0,5921"
"-4,294","-0,5936"
"-4,282","-0,5906"
"-4,27","-0,5982"
"-4,258","-0,5982"
"-4,246","-0,5845"
"-4,234","-0,5906"
"-4,222","-0,5845"
"-4,21","-0,5814"
"-4,198","-0,5784"
"-4,186","-0,5829"
"-4,174","-0,5814"
"-4,162","-0,5784"
"-4,15","-0,5677"
"-4,138","-0,5707"
"-4,126","-0,5707"
"-4,114","-0,5661"
"-4,102","-0,5646"
"-4,09","-0,5646"
"-4,078","-0,5692"
"-4,066","-0,5738"
"-4,054","-0,5646"
"-4,042","-0,5661"
"-4,03","-0,5692"
"-4,018","-0,5753"
"-4,006","-0,5677"
"-3,994","-0,5677"
"-3,982","-0,5646"
"-3,97","-0,5722"
"-3,958","-0,6012"
"-3,946","-0,6135"
"-3,934","-0,5967"
"-3,922","-0,5936"
"-3,91","-0,5951"
"-3,898","-0,6196"
"-3,886","-0,647"
"-3,874","-0,6455"
"-3,862","-0,6272"
"-3,85","-0,6333"
"-3,838","-0,5967"
"-3,826","-0,5921"
"-3,814","-0,5661"
"-3,802","-0,5631"
"-3,79","-0,5616"
"-3,778","-0,5524"
"-3,766","-0,5433"
"-3,754","-0,5478"
"-3,742","-0,5494"
"-3,73","-0,5494"
"-3,718","-0,5478"
"-3,706","-0,5402"
"-3,694","-0,5433"
"-3,682","-0,5387"
"-3,67","-0,5372"
"-3,658","-0,5356"
"-3,646","-0,5326"
"-3,634","-0,5417"
"-3,622","-0,5372"
"-3,61","-0,5387"
"-3,598","-0,5402"
"-3,586","-0,5417"
"-3,574","-0,5463"
"-3,562","-0,5448"
"-3,55","-0,5463"
"-3,538","-0,5478"
"-3,525","-0,5478"
"-3,513","-0,5494"
"-3,501","-0,5478"
"-3,489","-0,5539"
"-3,477","-0,5555"
"-3,465","-0,5677"
"-3,453","-0,5585"
"-3,441","-0,5524"
"-3,429","-0,557"
"-3,417","-0,5509"
"-3,405","-0,5555"
"-3,393","-0,56"
"-3,381","-0,5509"
"-3,369","-0,5555"
"-3,357","-0,5494"
"-3,345","-0,5524"
"-3,333","-0,557"
"-3,321","-0,5585"
"-3,309","-0,5631"
"-3,297","-0,5631"
"-3,285","-0,5555"
"-3,273","-0,5539"
"-3,261","-0,56"
"-3,249","-0,5707"
"-3,237","-0,5646"
"-3,225","-0,5539"
"-3,213","-0,5677"
"-3,201","-0,56"
"-3,189","-0,5555"
"-3,177","-0,5661"
"-3,165","-0,5646"
"-3,153","-0,5677"
"-3,141","-0,5768"
"-3,129","-0,5784"
"-3,117","-0,5784"
"-3,105","-0,586"
"-3,093","-0,586"
"-3,081","-0,5936"
"-3,069","-0,5906"
"-3,057","-0,5875"
"-3,045","-0,5921"
"-3,033","-0,5921"
"-3,021","-0,5997"
"-3,009","-0,6012"
"-2,997","-0,5982"
"-2,985","-0,6058"
"-2,973","-0,6089"
"-2,961","-0,6119"
"-2,949","-0,6058"
"-2,937","-0,6272"
"-2,925","-0,6211"
"-2,913","-0,618"
"-2,901","-0,6257"
"-2,889","-0,6318"
"-2,877","-0,6333"
"-2,865","-0,6165"
"-2,853","-0,6196"
"-2,841","-0,618"
"-2,829","-0,6348"
"-2,817","-0,6409"
"-2,805","-0,644"
"-2,793","-0,6485"
"-2,781","-0,6409"
"-2,769","-0,647"
"-2,757","-0,6547"
"-2,745","-0,6577"
"-2,733","-0,6592"
"-2,721","-0,6592"
"-2,709","-0,6516"
"-2,697","-0,6592"
"-2,685","-0,6577"
"-2,673","-0,673"
"-2,661","-0,676"
"-2,649","-0,673"
"-2,637","-0,6699"
"-2,625","-0,676"
"-2,613","-0,6852"
"-2,601","-0,6913"
"-2,589","-0,6791"
"-2,577","-0,6836"
"-2,565","-0,6821"
"-2,553","-0,6928"
"-2,541","-0,6852"
"-2,529","-0,6928"
"-2,516","-0,6928"
"-2,504","-0,6974"
"-2,492","-0,6974"
"-2,48","-0,7126"
"-2,468","-0,7065"
"-2,456","-0,7004"
"-2,444","-0,7035"
"-2,432","-0,705"
"-2,42","-0,7096"
"-2,408","-0,7187"
"-2,396","-0,7172"
"-2,384","-0,7325"
"-2,372","-0,7325"
"-2,36","-0,7248"
"-2,348","-0,7416"
"-2,336","-0,7538"
"-2,324","-0,7477"
"-2,312","-0,7493"
"-2,3","-0,7569"
"-2,288","-0,7554"
"-2,276","-0,7462"
"-2,264","-0,7462"
"-2,252","-0,7462"
"-2,24","-0,7477"
"-2,228","-0,7523"
"-2,216","-0,7447"
"-2,204","-0,7508"
"-2,192","-0,7508"
"-2,18","-0,7493"
"-2,168","-0,7508"
"-2,156","-0,7569"
"-2,144","-0,7508"
"-2,132","-0,7462"
"-2,12","-0,7554"
"-2,108","-0,7538"
"-2,096","-0,7508"
"-2,084","-0,7447"
"-2,072","-0,7416"
"-2,06","-0,7401"
"-2,048","-0,7432"
"-2,036","-0,7416"
"-2,024","-0,734"
"-2,012","-0,7355"
"-2","-0,7355"
"-1,988","-0,731"
"-1,976","-0,7279"
"-1,964","-0,7325"
"-1,952","-0,731"
"-1,94","-0,7264"
"-1,928","-0,7126"
"-1,916","-0,7203"
"-1,904","-0,7157"
"-1,892","-0,7294"
"-1,88","-0,7233"
"-1,868","-0,7172"
"-1,856","-0,7157"
"-1,844","-0,702"
"-1,832","-0,6974"
"-1,82","-0,6928"
"-1,808","-0,6852"
"-1,796","-0,6852"
"-1,784","-0,6745"
"-1,772","-0,676"
"-1,76","-0,6775"
"-1,748","-0,6775"
"-1,736","-0,6699"
"-1,724","-0,6669"
"-1,712","-0,6592"
"-1,7","-0,6516"
"-1,688","-0,6485"
"-1,676","-0,6455"
"-1,664","-0,6394"
"-1,652","-0,6348"
"-1,64","-0,6348"
"-1,628","-0,6348"
"-1,616","-0,6302"
"-1,604","-0,6287"
"-1,592","-0,6196"
"-1,58","-0,6257"
"-1,568","-0,6196"
"-1,556","-0,6073"
