"u","i"
"-3","-49,99"
"-2,994","-49,99"
"-2,988","-49,99"
"-2,982","-49,99"
"-2,976","-49,99"
"-2,97","-49,99"
"-2,964","-49,99"
"-2,958","-49,99"
"-2,952","-49,99"
"-2,946","-49,99"
"-2,94","-49,99"
"-2,934","-49,99"
"-2,928","-49,99"
"-2,922","-49,99"
"-2,916","-49,99"
"-2,91","-49,99"
"-2,904","-49,99"
"-2,898","-49,99"
"-2,892","-49,99"
"-2,886","-49,99"
"-2,88","-49,99"
"-2,874","-49,99"
"-2,868","-49,99"
"-2,862","-49,99"
"-2,856","-49,99"
"-2,85","-49,99"
"-2,844","-49,99"
"-2,838","-49,99"
"-2,832","-49,99"
"-2,826","-49,99"
"-2,82","-49,99"
"-2,814","-49,99"
"-2,808","-49,99"
"-2,802","-49,99"
"-2,796","-49,99"
"-2,79","-49,99"
"-2,784","-49,99"
"-2,778","-49,99"
"-2,772","-49,99"
"-2,766","-49,99"
"-2,76","-49,99"
"-2,754","-49,99"
"-2,748","-49,99"
"-2,742","-49,99"
"-2,736","-49,99"
"-2,73","-49,99"
"-2,724","-49,99"
"-2,718","-49,99"
"-2,712","-49,99"
"-2,706","-49,99"
"-2,7","-49,99"
"-2,694","-49,99"
"-2,688","-49,99"
"-2,682","-49,99"
"-2,676","-49,99"
"-2,67","-49,99"
"-2,664","-49,99"
"-2,658","-49,99"
"-2,652","-49,99"
"-2,646","-49,99"
"-2,64","-49,99"
"-2,634","-49,99"
"-2,628","-49,99"
"-2,622","-49,99"
"-2,616","-49,99"
"-2,61","-49,99"
"-2,604","-49,99"
"-2,598","-49,99"
"-2,592","-49,99"
"-2,586","-49,99"
"-2,58","-49,99"
"-2,574","-49,99"
"-2,568","-49,99"
"-2,562","-49,99"
"-2,556","-49,99"
"-2,55","-49,99"
"-2,544","-49,99"
"-2,538","-49,99"
"-2,532","-49,99"
"-2,525","-49,99"
"-2,519","-49,99"
"-2,513","-49,99"
"-2,507","-49,99"
"-2,501","-49,99"
"-2,495","-49,99"
"-2,489","-49,99"
"-2,483","-49,99"
"-2,477","-49,99"
"-2,471","-49,99"
"-2,465","-49,99"
"-2,459","-49,99"
"-2,453","-49,99"
"-2,447","-49,99"
"-2,441","-49,99"
"-2,435","-49,99"
"-2,429","-49,99"
"-2,423","-49,99"
"-2,417","-49,99"
"-2,411","-49,99"
"-2,405","-49,99"
"-2,399","-49,99"
"-2,393","-49,99"
"-2,387","-49,99"
"-2,381","-49,99"
"-2,375","-49,99"
"-2,369","-49,99"
"-2,363","-49,99"
"-2,357","-49,99"
"-2,351","-49,99"
"-2,345","-49,99"
"-2,339","-49,99"
"-2,333","-49,99"
"-2,327","-49,99"
"-2,321","-49,99"
"-2,315","-49,99"
"-2,309","-49,99"
"-2,303","-49,99"
"-2,297","-49,99"
"-2,291","-49,99"
"-2,285","-49,99"
"-2,279","-49,99"
"-2,273","-49,99"
"-2,267","-49,99"
"-2,261","-49,99"
"-2,255","-49,99"
"-2,249","-49,99"
"-2,243","-49,99"
"-2,237","-49,99"
"-2,231","-49,99"
"-2,225","-49,99"
"-2,219","-49,99"
"-2,213","-49,99"
"-2,207","-49,99"
"-2,201","-49,99"
"-2,195","-49,99"
"-2,189","-49,99"
"-2,183","-49,99"
"-2,177","-49,99"
"-2,171","-49,99"
"-2,165","-49,99"
"-2,159","-49,99"
"-2,153","-49,99"
"-2,147","-49,99"
"-2,141","-49,99"
"-2,135","-49,99"
"-2,129","-49,99"
"-2,123","-49,99"
"-2,117","-49,99"
"-2,111","-49,99"
"-2,105","-49,99"
"-2,099","-49,99"
"-2,093","-49,99"
"-2,087","-49,99"
"-2,081","-49,99"
"-2,075","-49,99"
"-2,069","-49,99"
"-2,063","-49,99"
"-2,057","-49,99"
"-2,051","-49,99"
"-2,045","-49,99"
"-2,039","-49,99"
"-2,033","-49,99"
"-2,027","-49,99"
"-2,021","-49,99"
"-2,015","-49,99"
"-2,009","-49,99"
"-2,003","-49,99"
"-1,997","-49,99"
"-1,991","-49,99"
"-1,985","-49,99"
"-1,979","-49,99"
"-1,973","-49,99"
"-1,967","-49,99"
"-1,961","-49,99"
"-1,955","-49,99"
"-1,949","-49,99"
"-1,943","-49,99"
"-1,937","-49,99"
"-1,931","-49,99"
"-1,925","-49,99"
"-1,919","-49,99"
"-1,913","-49,99"
"-1,907","-49,99"
"-1,901","-49,99"
"-1,895","-49,99"
"-1,889","-49,99"
"-1,883","-49,99"
"-1,877","-49,99"
"-1,871","-49,99"
"-1,865","-49,99"
"-1,859","-49,99"
"-1,853","-49,99"
"-1,847","-49,99"
"-1,841","-49,99"
"-1,835","-49,99"
"-1,829","-49,99"
"-1,823","-49,99"
"-1,817","-49,99"
"-1,811","-49,99"
"-1,805","-49,99"
"-1,799","-49,99"
