"u","i"
"-2","-49,99"
"-1,996","-49,99"
"-1,992","-49,99"
"-1,988","-49,99"
"-1,984","-49,99"
"-1,98","-49,99"
"-1,976","-49,99"
"-1,972","-49,99"
"-1,968","-49,99"
"-1,964","-49,99"
"-1,96","-49,99"
"-1,956","-49,99"
"-1,952","-49,99"
"-1,948","-49,99"
"-1,944","-49,99"
"-1,94","-49,99"
"-1,936","-49,99"
"-1,932","-49,99"
"-1,928","-49,99"
"-1,924","-49,99"
"-1,92","-49,99"
"-1,916","-49,99"
"-1,912","-49,99"
"-1,908","-49,99"
"-1,904","-49,99"
"-1,9","-49,99"
"-1,896","-49,99"
"-1,892","-49,99"
"-1,888","-49,99"
"-1,884","-49,99"
"-1,88","-49,99"
"-1,876","-49,99"
"-1,872","-49,99"
"-1,868","-49,99"
"-1,864","-49,99"
"-1,86","-49,99"
"-1,856","-49,99"
"-1,852","-49,99"
"-1,848","-49,99"
"-1,844","-49,99"
"-1,84","-49,99"
"-1,836","-49,99"
"-1,832","-49,99"
"-1,828","-49,99"
"-1,824","-49,99"
"-1,82","-49,99"
"-1,816","-49,99"
"-1,812","-49,99"
"-1,808","-49,99"
"-1,804","-49,99"
"-1,8","-49,99"
"-1,796","-49,99"
"-1,792","-49,99"
"-1,788","-49,99"
"-1,784","-49,99"
"-1,78","-49,99"
"-1,776","-49,99"
"-1,772","-49,99"
"-1,768","-49,99"
"-1,764","-49,99"
"-1,76","-49,99"
"-1,756","-49,99"
"-1,752","-49,99"
"-1,748","-49,99"
"-1,744","-49,99"
"-1,74","-49,99"
"-1,736","-49,99"
"-1,732","-49,99"
"-1,728","-49,99"
"-1,724","-49,99"
"-1,72","-49,99"
"-1,716","-49,99"
"-1,712","-49,99"
"-1,708","-49,99"
"-1,704","-49,99"
"-1,7","-49,99"
"-1,696","-49,99"
"-1,692","-49,99"
"-1,688","-49,99"
"-1,684","-49,99"
"-1,68","-49,99"
"-1,676","-49,99"
"-1,672","-49,99"
"-1,668","-49,99"
"-1,664","-49,99"
"-1,66","-49,99"
"-1,656","-49,99"
"-1,652","-49,99"
"-1,648","-49,99"
"-1,644","-49,99"
"-1,64","-49,99"
"-1,636","-49,99"
"-1,632","-49,99"
"-1,628","-49,99"
"-1,624","-49,99"
"-1,62","-49,99"
"-1,616","-49,99"
"-1,612","-49,99"
"-1,608","-49,99"
"-1,604","-49,99"
"-1,6","-49,99"
"-1,595","-49,99"
"-1,591","-49,99"
"-1,587","-49,99"
"-1,583","-49,99"
"-1,579","-49,99"
"-1,575","-49,99"
"-1,571","-49,99"
"-1,567","-49,99"
"-1,563","-49,99"
"-1,559","-49,99"
"-1,555","-49,99"
"-1,551","-49,99"
"-1,547","-49,99"
"-1,543","-49,99"
"-1,539","-49,99"
"-1,535","-49,99"
"-1,531","-49,99"
"-1,527","-49,99"
"-1,523","-49,99"
"-1,519","-49,99"
"-1,515","-49,99"
"-1,511","-49,99"
"-1,507","-49,99"
"-1,503","-49,99"
"-1,499","-49,99"
"-1,495","-49,99"
"-1,491","-49,99"
"-1,487","-49,99"
"-1,483","-49,99"
"-1,479","-49,99"
"-1,475","-49,99"
"-1,471","-49,99"
"-1,467","-49,99"
"-1,463","-49,99"
"-1,459","-49,99"
"-1,455","-49,99"
"-1,451","-49,99"
"-1,447","-49,99"
"-1,443","-49,99"
"-1,439","-49,99"
"-1,435","-49,99"
"-1,431","-49,99"
"-1,427","-49,99"
"-1,423","-49,99"
"-1,419","-49,99"
"-1,415","-49,99"
"-1,411","-49,99"
"-1,407","-49,99"
"-1,403","-49,99"
"-1,399","-49,99"
"-1,395","-49,99"
"-1,391","-49,99"
"-1,387","-49,99"
"-1,383","-49,99"
"-1,379","-49,99"
"-1,375","-49,99"
"-1,371","-49,99"
"-1,367","-49,99"
"-1,363","-49,99"
"-1,359","-49,99"
"-1,355","-49,99"
"-1,351","-49,99"
"-1,347","-49,99"
"-1,343","-49,99"
"-1,339","-49,99"
"-1,335","-49,99"
"-1,331","-49,99"
"-1,327","-49,99"
"-1,323","-49,99"
"-1,319","-49,99"
"-1,315","-49,99"
"-1,311","-49,99"
"-1,307","-49,99"
"-1,303","-49,99"
"-1,299","-49,99"
"-1,295","-49,99"
"-1,291","-49,99"
"-1,287","-49,99"
"-1,283","-49,99"
"-1,279","-49,99"
"-1,275","-49,99"
"-1,271","-49,99"
"-1,267","-49,99"
"-1,263","-49,99"
"-1,259","-49,99"
"-1,255","-49,99"
