"u","i"
"-5","-13,56"
"-4,99","-12,53"
"-4,98","-13,82"
"-4,97","-12,96"
"-4,96","-12,51"
"-4,95","-11,39"
"-4,94","-13,52"
"-4,93","-13,69"
"-4,92","-12,66"
"-4,91","-14,49"
"-4,9","-13,77"
"-4,89","-13,33"
"-4,88","-18,23"
"-4,87","-17,19"
"-4,86","-18,76"
"-4,85","-13,74"
"-4,84","-16,62"
"-4,83","-17,68"
"-4,82","-12,77"
"-4,81","-13,9"
"-4,8","-12,53"
"-4,79","-14,53"
"-4,78","-15,71"
"-4,77","-16,7"
"-4,76","-15,2"
"-4,75","-15,55"
"-4,74","-13,48"
"-4,73","-13"
"-4,72","-17,23"
"-4,71","-14,86"
"-4,7","-15,39"
"-4,69","-17,3"
"-4,68","-18,45"
"-4,67","-22,07"
"-4,66","-19,81"
"-4,65","-19,29"
"-4,64","-21,98"
"-4,63","-18,08"
"-4,62","-16,74"
"-4,61","-16,36"
"-4,6","-17,28"
"-4,59","-18,41"
"-4,58","-14,69"
"-4,57","-13,18"
"-4,56","-15,36"
"-4,55","-15,72"
"-4,54","-11,62"
"-4,53","-12,51"
"-4,52","-12,85"
"-4,51","-11,75"
"-4,5","-9,492"
"-4,49","-10,03"
"-4,48","-9,426"
"-4,47","-11,31"
"-4,46","-11,04"
"-4,45","-11,21"
"-4,44","-13,22"
"-4,43","-13,8"
"-4,42","-13,33"
"-4,41","-14,52"
"-4,4","-16,33"
"-4,39","-15,94"
"-4,38","-13,58"
"-4,37","-14,13"
"-4,359","-17,58"
"-4,349","-21,4"
"-4,339","-23,22"
"-4,329","-25,94"
"-4,319","-27,97"
"-4,309","-22,71"
"-4,299","-21,94"
"-4,289","-21,99"
"-4,279","-19,17"
"-4,269","-20,69"
"-4,259","-23,24"
"-4,249","-24,26"
"-4,239","-27,97"
"-4,229","-24,47"
"-4,219","-25,27"
"-4,209","-26"
"-4,199","-28,36"
"-4,189","-30,04"
"-4,179","-29,96"
"-4,169","-28,78"
"-4,159","-30,93"
"-4,149","-29,54"
"-4,139","-22,8"
"-4,129","-20,64"
"-4,119","-24,64"
"-4,109","-25,37"
"-4,099","-25,65"
"-4,089","-25,44"
"-4,079","-23"
"-4,069","-22,63"
"-4,059","-24,35"
