"u","i"
"-6","-49,99"
"-5,988","-49,99"
"-5,976","-49,99"
"-5,964","-49,99"
"-5,952","-49,99"
"-5,94","-49,99"
"-5,928","-49,99"
"-5,916","-49,99"
"-5,904","-49,99"
"-5,892","-49,1"
"-5,88","-49,99"
"-5,868","-49,99"
"-5,856","-49,58"
"-5,844","-41,86"
"-5,832","-42,18"
"-5,82","-40,23"
"-5,808","-40,54"
"-5,796","-39,3"
"-5,784","-39"
"-5,772","-36,4"
"-5,76","-39,2"
"-5,748","-38,46"
"-5,736","-40,07"
"-5,724","-49,99"
"-5,712","-49,99"
"-5,7","-49,99"
"-5,688","-49,99"
"-5,676","-49,99"
"-5,664","-49,99"
"-5,652","-49,99"
"-5,64","-49,99"
"-5,628","-49,99"
"-5,616","-49,99"
"-5,604","-49,99"
"-5,592","-49,99"
"-5,58","-49,99"
"-5,568","-47,94"
"-5,555","-24,78"
"-5,543","-17,57"
"-5,531","-15,54"
"-5,519","-14,52"
"-5,507","-14,53"
"-5,495","-15,07"
"-5,483","-15,44"
"-5,471","-15,69"
"-5,459","-15,93"
"-5,447","-16,13"
"-5,435","-16,78"
"-5,423","-16,04"
"-5,411","-15,6"
"-5,399","-14,47"
"-5,387","-13,9"
"-5,375","-12,87"
"-5,363","-11,78"
"-5,351","-11,56"
"-5,339","-11,91"
"-5,327","-12"
"-5,315","-10,62"
"-5,303","-10,39"
"-5,291","-10,12"
"-5,279","-10,72"
"-5,267","-10,65"
"-5,255","-10,68"
"-5,243","-10,61"
"-5,231","-11,59"
"-5,219","-12,4"
"-5,207","-11,69"
"-5,195","-11,2"
"-5,183","-10,56"
"-5,171","-11,35"
"-5,159","-11,13"
"-5,147","-10,23"
"-5,135","-9,502"
"-5,123","-8,907"
"-5,111","-8,231"
"-5,099","-8,671"
"-5,087","-9,119"
"-5,075","-8,608"
"-5,063","-9,194"
"-5,051","-9,408"
"-5,039","-9,237"
"-5,027","-8,994"
"-5,015","-8,341"
"-5,003","-8,689"
"-4,991","-8,356"
"-4,979","-7,983"
"-4,967","-7,329"
"-4,955","-7,468"
"-4,943","-8,008"
"-4,931","-8,146"
"-4,919","-9,556"
"-4,907","-8,597"
"-4,895","-7,731"
"-4,883","-7,975"
"-4,871","-8,314"
"-4,859","-10,22"
"-4,847","-9,895"
"-4,835","-9,98"
"-4,823","-10,56"
"-4,811","-9,357"
"-4,799","-8,247"
"-4,787","-7,47"
"-4,775","-7,125"
"-4,763","-7,612"
"-4,751","-7,987"
"-4,739","-7,809"
"-4,727","-8,304"
"-4,715","-8,239"
"-4,703","-7,662"
"-4,691","-7,857"
"-4,679","-8,417"
"-4,667","-8,968"
"-4,655","-8,68"
"-4,643","-7,407"
"-4,631","-6,803"
"-4,619","-7,635"
"-4,607","-8,343"
"-4,595","-7,795"
"-4,583","-8,031"
"-4,571","-7,279"
"-4,559","-7,035"
"-4,546","-7,664"
"-4,534","-7,648"
"-4,522","-7,071"
"-4,51","-6,173"
"-4,498","-6,829"
"-4,486","-8,369"
"-4,474","-8,013"
"-4,462","-7,665"
"-4,45","-7,731"
"-4,438","-7,238"
"-4,426","-6,843"
"-4,414","-6,826"
"-4,402","-8,17"
"-4,39","-7,773"
"-4,378","-7,337"
"-4,366","-7,43"
"-4,354","-6,923"
"-4,342","-6,569"
"-4,33","-7,375"
"-4,318","-7,487"
"-4,306","-8,279"
"-4,294","-7,401"
"-4,282","-6,566"
"-4,27","-6,118"
"-4,258","-7,351"
"-4,246","-7,683"
"-4,234","-7,644"
"-4,222","-6,807"
"-4,21","-6,174"
"-4,198","-5,597"
"-4,186","-5,626"
"-4,174","-5,988"
"-4,162","-6,391"
"-4,15","-5,861"
"-4,138","-5,811"
"-4,126","-5,025"
"-4,114","-5,243"
"-4,102","-5,199"
"-4,09","-4,831"
"-4,078","-5,079"
"-4,066","-5,252"
"-4,054","-4,37"
"-4,042","-4,094"
"-4,03","-4,686"
"-4,018","-4,323"
"-4,006","-4,468"
"-3,994","-5,162"
"-3,982","-4,932"
"-3,97","-4,811"
"-3,958","-4,355"
"-3,946","-4,151"
"-3,934","-4,67"
"-3,922","-7,784"
"-3,91","-7,152"
"-3,898","-7,123"
"-3,886","-7,802"
"-3,874","-8,14"
"-3,862","-7,316"
"-3,85","-7,241"
"-3,838","-7,781"
"-3,826","-7,761"
"-3,814","-8,089"
"-3,802","-8,016"
"-3,79","-5,681"
"-3,778","-4,685"
"-3,766","-4,264"
"-3,754","-4,103"
"-3,742","-3,99"
"-3,73","-3,937"
"-3,718","-5,417"
"-3,706","-6,371"
"-3,694","-6,008"
"-3,682","-5,175"
"-3,67","-5,153"
"-3,658","-5,033"
"-3,646","-4,656"
"-3,634","-5,483"
"-3,622","-4,619"
"-3,61","-5,152"
"-3,598","-5,41"
"-3,586","-5,829"
"-3,574","-5,394"
"-3,562","-5,101"
"-3,55","-3,835"
"-3,538","-3,534"
"-3,525","-4,464"
"-3,513","-4,532"
"-3,501","-3,966"
"-3,489","-4,175"
"-3,477","-3,534"
"-3,465","-3,139"
"-3,453","-2,873"
"-3,441","-3,041"
"-3,429","-2,886"
"-3,417","-2,391"
"-3,405","-2,233"
"-3,393","-2,275"
"-3,381","-2,017"
"-3,369","-2,159"
"-3,357","-2,138"
"-3,345","-2,344"
"-3,333","-2,405"
"-3,321","-2,301"
"-3,309","-2,4"
"-3,297","-2,657"
"-3,285","-2,652"
"-3,273","-2,735"
"-3,261","-2,623"
"-3,249","-2,226"
"-3,237","-2,023"
"-3,225","-2,02"
"-3,213","-2,132"
"-3,201","-1,973"
"-3,189","-1,944"
"-3,177","-2,229"
"-3,165","-2,294"
"-3,153","-2,095"
"-3,141","-2,01"
"-3,129","-1,759"
