"u","i"
"-1","-49,99"
"-0,9981","-49,99"
"-0,9961","-49,99"
"-0,9941","-49,99"
"-0,9921","-49,99"
"-0,9901","-49,99"
"-0,9881","-49,99"
"-0,9861","-49,99"
"-0,9841","-49,99"
"-0,9821","-49,99"
"-0,9801","-49,99"
"-0,9781","-49,99"
"-0,9761","-49,99"
"-0,9741","-49,99"
"-0,9721","-49,99"
"-0,9701","-49,99"
"-0,9681","-49,99"
"-0,9661","-49,99"
"-0,9641","-49,99"
"-0,962","-49,99"
"-0,96","-49,99"
"-0,958","-49,99"
"-0,956","-49,99"
"-0,954","-49,99"
"-0,952","-49,99"
"-0,95","-49,99"
"-0,948","-49,99"
"-0,946","-49,99"
"-0,944","-49,99"
"-0,942","-49,99"
"-0,94","-49,99"
"-0,938","-49,99"
"-0,936","-49,99"
"-0,934","-49,99"
"-0,932","-49,99"
"-0,93","-49,99"
"-0,928","-49,99"
"-0,926","-49,99"
"-0,924","-49,99"
"-0,922","-49,99"
"-0,92","-49,99"
"-0,918","-49,99"
"-0,916","-49,99"
"-0,914","-49,99"
"-0,912","-49,99"
"-0,91","-49,99"
"-0,908","-49,99"
"-0,906","-49,99"
"-0,904","-49,99"
"-0,902","-49,99"
"-0,9","-49,99"
"-0,898","-49,99"
"-0,896","-49,99"
"-0,894","-49,99"
"-0,892","-49,99"
"-0,89","-49,99"
"-0,888","-49,99"
"-0,886","-49,99"
"-0,884","-49,99"
"-0,882","-49,99"
"-0,88","-49,99"
"-0,878","-49,99"
"-0,876","-49,99"
"-0,874","-49,99"
"-0,872","-49,99"
"-0,8699","-49,99"
"-0,8679","-49,99"
"-0,8659","-49,99"
"-0,8639","-49,99"
"-0,8619","-49,99"
"-0,8599","-49,99"
"-0,8579","-49,99"
"-0,8559","-49,99"
"-0,8539","-49,99"
"-0,8519","-49,99"
"-0,8499","-49,99"
"-0,8479","-49,99"
"-0,8459","-49,99"
"-0,8439","-49,99"
"-0,8419","-49,99"
"-0,8399","-49,99"
"-0,8379","-49,99"
"-0,8359","-49,99"
"-0,8339","-49,99"
"-0,8319","-49,99"
"-0,8299","-49,99"
"-0,8279","-49,99"
"-0,8259","-49,99"
"-0,8239","-49,99"
"-0,8219","-49,99"
"-0,8199","-49,99"
"-0,8179","-49,99"
"-0,8159","-49,99"
"-0,8139","-49,99"
"-0,8119","-49,99"
"-0,8099","-49,99"
"-0,8079","-49,99"
"-0,8059","-49,99"
"-0,8039","-49,99"
"-0,8019","-49,99"
"-0,7999","-49,99"
"-0,7979","-49,99"
"-0,7959","-49,99"
"-0,7939","-49,99"
"-0,7919","-49,99"
"-0,7899","-49,99"
"-0,7879","-49,99"
"-0,7859","-49,99"
"-0,7839","-49,99"
"-0,7819","-49,99"
"-0,7799","-49,99"
"-0,7778","-49,99"
"-0,7758","-49,99"
"-0,7738","-49,99"
"-0,7718","-49,99"
"-0,7698","-49,99"
"-0,7678","-49,99"
"-0,7658","-49,99"
"-0,7638","-49,99"
"-0,7618","-49,99"
"-0,7598","-49,99"
"-0,7578","-49,99"
"-0,7558","-49,99"
"-0,7538","-49,99"
"-0,7518","-49,99"
"-0,7498","-49,99"
"-0,7478","-49,99"
"-0,7458","-49,99"
"-0,7438","-49,99"
"-0,7418","-49,99"
"-0,7398","-49,99"
"-0,7378","-49,99"
"-0,7358","-49,99"
"-0,7338","-49,99"
"-0,7318","-49,99"
"-0,7298","-49,99"
"-0,7278","-49,99"
"-0,7258","-49,99"
"-0,7238","-49,99"
"-0,7218","-49,99"
"-0,7198","-49,99"
"-0,7178","-49,99"
"-0,7158","-49,99"
"-0,7138","-49,99"
"-0,7118","-49,99"
"-0,7098","-49,99"
"-0,7078","-49,99"
"-0,7058","-49,99"
"-0,7038","-49,99"
"-0,7018","-49,99"
"-0,6998","-49,99"
"-0,6978","-49,99"
"-0,6958","-49,99"
"-0,6938","-49,99"
"-0,6918","-49,99"
"-0,6898","-49,99"
"-0,6878","-49,99"
"-0,6857","-49,99"
"-0,6837","-49,99"
"-0,6817","-49,99"
"-0,6797","-49,99"
"-0,6777","-49,99"
"-0,6757","-49,99"
"-0,6737","-49,99"
"-0,6717","-49,99"
"-0,6697","-49,99"
"-0,6677","-49,99"
"-0,6657","-49,99"
"-0,6637","-49,99"
"-0,6617","-49,99"
"-0,6597","-49,99"
"-0,6577","-49,99"
"-0,6557","-49,99"
"-0,6537","-49,99"
"-0,6517","-49,99"
"-0,6497","-49,99"
"-0,6477","-49,99"
"-0,6457","-49,99"
"-0,6437","-49,99"
"-0,6417","-49,99"
"-0,6397","-49,99"
"-0,6377","-49,99"
"-0,6357","-49,99"
"-0,6337","-49,99"
"-0,6317","-49,99"
"-0,6297","-49,99"
"-0,6277","-49,99"
"-0,6257","-49,99"
"-0,6237","-49,99"
"-0,6217","-49,99"
"-0,6197","-49,99"
"-0,6177","-49,99"
"-0,6157","-49,99"
"-0,6137","-49,99"
"-0,6117","-49,99"
"-0,6097","-49,99"
"-0,6077","-49,99"
"-0,6057","-49,99"
"-0,6037","-49,99"
"-0,6017","-49,99"
"-0,5997","-49,99"
"-0,5977","-49,99"
"-0,5956","-49,99"
"-0,5936","-49,99"
"-0,5916","-49,99"
"-0,5896","-49,99"
"-0,5876","-49,99"
"-0,5856","-49,99"
"-0,5836","-49,99"
"-0,5816","-49,99"
"-0,5796","-49,99"
"-0,5776","-49,99"
"-0,5756","-49,99"
"-0,5736","-49,99"
"-0,5716","-49,99"
"-0,5696","-49,99"
"-0,5676","-49,99"
"-0,5656","-49,99"
"-0,5636","-49,99"
"-0,5616","-49,99"
"-0,5596","-49,99"
"-0,5576","-49,99"
"-0,5556","-49,99"
"-0,5536","-49,99"
"-0,5516","-49,99"
"-0,5496","-49,99"
"-0,5476","-49,99"
"-0,5456","-49,99"
"-0,5436","-49,99"
"-0,5416","-49,99"
"-0,5396","-49,99"
"-0,5376","-49,99"
"-0,5356","-49,99"
"-0,5336","-49,99"
"-0,5316","-49,99"
"-0,5296","-49,99"
"-0,5276","-49,99"
"-0,5256","-49,99"
"-0,5236","-49,99"
"-0,5216","-49,99"
"-0,5196","-49,99"
"-0,5176","-49,99"
"-0,5156","-49,99"
"-0,5136","-49,99"
"-0,5116","-49,99"
"-0,5096","-49,99"
"-0,5076","-49,99"
"-0,5056","-49,99"
"-0,5035","-49,99"
"-0,5015","-49,99"
"-0,4995","-49,99"
"-0,4975","-49,99"
"-0,4955","-49,99"
"-0,4935","-49,99"
"-0,4915","-49,99"
"-0,4895","-49,99"
"-0,4875","-49,99"
"-0,4855","-49,99"
"-0,4835","-49,99"
"-0,4815","-49,99"
"-0,4795","-49,99"
"-0,4775","-49,99"
"-0,4755","-49,99"
"-0,4735","-49,99"
"-0,4715","-49,99"
"-0,4695","-49,99"
"-0,4675","-49,99"
"-0,4655","-49,99"
"-0,4635","-49,99"
"-0,4615","-49,99"
"-0,4595","-49,99"
"-0,4575","-49,99"
"-0,4555","-49,99"
"-0,4535","-49,99"
"-0,4515","-49,99"
"-0,4495","-49,99"
"-0,4475","-49,99"
"-0,4455","-49,99"
"-0,4435","-49,99"
"-0,4415","-49,99"
"-0,4395","-49,99"
"-0,4375","-49,99"
"-0,4355","-49,99"
"-0,4335","-49,99"
"-0,4315","-49,99"
"-0,4295","-49,99"
